,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,user_name,user_location,user_description,user_verified,date,text,source
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Presentation Sports, الوادي الجديد ,"Official twitter of presentation sports, Presentation is one of the largest advertising companies, sports marketing by all means audio-visual and video",True,2022-08-27 20:05:41+00:00,"نتائج مواجهات اليوم من #دوري_WE
#Presentationsports | راعي الكرة المصرية https://t.co/RDvlVSlTQv",Twitter Web App
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,basma helmy, الوادي الجديد ,,False,2022-08-27 20:04:52+00:00,@loly_we_morgan الله يرحمة,Twitter for Android
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,THE BOYZ EGYPT 🇪🇬, الوادي الجديد ,The First Egyptian Fanbase For THE BOYZ And HYUNJUNHUR 🇪🇬✨#더보이즈 #HYUNJUNHUR #허현준( @WE_THE_BOYZ ) (@IST_THEBOYZ) || Backup acc : @egyptiantheb2,False,2022-08-27 19:22:16+00:00,"220827←📸
تحديث D1 عضو فرقة DKB مع سونوو عبر الانستجرام:

""لقد التقطتُ صور مع سونوو من ذابويز📸
🎉 تهانينا علي الفوز بالمركز الأول!🎉""

#THEBOYZ #더보이즈 @IST_THEBOYZ @WE_THE_BOYZ
_🎀 https://t.co/mZ8tCRK7W1",Twitter for Android
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,THE BOYZ EGYPT 🇪🇬, الوادي الجديد ,The First Egyptian Fanbase For THE BOYZ And HYUNJUNHUR 🇪🇬✨#더보이즈 #HYUNJUNHUR #허현준( @WE_THE_BOYZ ) (@IST_THEBOYZ) || Backup acc : @egyptiantheb2,False,2022-08-27 19:18:10+00:00,"@WE_THE_BOYZ 220827←📸
☀️|تحديث سونوو عبر التويتر:

""أريد أن أتعلم من الدوبي الذين يمكنهم هزيمة 100 شخص""

#THEBOYZ #더보이즈 @IST_THEBOYZ @WE_THE_BOYZ
_🎀 https://t.co/LrAHHxIOI7",Twitter for Android
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Mohamed Hassan, الوادي الجديد ,"مصري حتي النخاع ♤ قهوة بحر موسيقي 🇪🇬❤🇪🇬❤🇪🇬 تحيا مصر
صفحة جديدة التانية اتقفلت",False,2022-08-27 18:58:40+00:00,دقيقة we ارخص😂😂😂 https://t.co/06SIPtadU6,Twitter for Android
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Mohamed Hassan, الوادي الجديد ,"مصري حتي النخاع ♤ قهوة بحر موسيقي 🇪🇬❤🇪🇬❤🇪🇬 تحيا مصر
صفحة جديدة التانية اتقفلت",False,2022-08-27 18:57:30+00:00,@vRg4kB9yM7p2uY دقيقة موبينيل ارخص😂😂😂😂,Twitter for Android
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,B🦋, الوادي الجديد ,medical student 👩🏻‍⚕️🩺 🇰🇼||🇪🇬,False,2022-08-27 18:54:30+00:00,@AbdalrhmanShou1 دا اللي اتخزوقت فيه من we بألف وباقته ٣٠٠ جنيه تديني ٤٠ جيجا بس وطبعا مبيتجددش مره بس فالشهر😀,Twitter for iPhone
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,سيد مكيد 🇪🇬, الوادي الجديد ,عاشق لمصر ورئيسها و جيشها وشرطتها محب للملكة العربية السعودية الشقيقة والإمارات العربية والمساس بهم خط أحمر,False,2022-08-27 18:51:05+00:00,@vRg4kB9yM7p2uY فودافون ولا إتصالات,Twitter for Android
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,Sky🦅, الوادي الجديد ,ولا في غيرة يفرحني♥️♥️♥️🦅,False,2022-08-27 18:25:39+00:00,شعري لونه orange وانتوا؟!,"Cheap Bots, Done Quick!"
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,Orange Egypt, الوادي الجديد ,Our mission is to be always in touch to connect what’s essential in your life.,True,2022-08-27 18:04:21+00:00,"@adelamin135 : اري متابعة الرد من خلال الرسائل

كريم",Genesys Social Engagement.
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,بيت الزكاة, الوادي الجديد ,بيت الزكاة والصدقات المصري. قناتك الآمنة للزكاة والصدقات تحت إشراف شيخ الأزهر #الزكاة_في_بيت_الزكاة,False,2022-08-27 17:54:26+00:00,"تقدر تتبرع بزكاتك وصدقات في كل البنوك المصرية من خلال رقم 7777 للصدقات
ورقم 8888 للزكاة، أو من خلال الخط الساخن 15111
وتقدر تتبرع  عن طريق
محفظة أورانج #7115#
أو فودافون كاش *9#
أو من خلال فوري
خدمة فوري صدقة ٩٧٧
خدمة فورى زكاة ٩٩٥
وتقدر تتبرع أون لاين : https://t.co/d1rkvE8M6A https://t.co/BJto6i44yQ",Twitter Web App
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,حسني عبد الحميد سالم ابو جومانه, الوادي الجديد ,"وزارة الاوقاف المصرية
(زمالكاوى جميل)🇦🇹 🔥🇦🇹❤️🇦🇹🏆",False,2022-08-27 17:37:08+00:00,@IsmailMahmod13 @Aliaakhalifa144 مع ان الكلام دة هبد ..لكن اللي باعنا خسر دلعنا ..وبصفتنا 80 مليون زمالكاوى فى مصر ممكن نقاطع شركة  WE ..لكن احنا مش هنعمل كدة لان الخبر دة ملوش مصدر غير لحظات الفراغ اللي بتعيشوها الايام دى,Twitter Web App
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,Orange Egypt, الوادي الجديد ,Our mission is to be always in touch to connect what’s essential in your life.,True,2022-08-27 17:31:51+00:00,"@Ahmed_ElShafei5 : إحنا هنا لمساعدتك و يهمنا الرد عليك, ممكن توضيح الرقم والتفاصيل  في الرسائل للمراجعه بشكل افضل
مندور",Genesys Social Engagement.
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,Ahmed Fares, الوادي الجديد ,"Architecture 
🎨 طيبه مصرنا التي كانت بمساحه أرض 3 ملايين كم من البحر الأبيض لمنابع النهر 💔 ولكن عاق بها طغمه وتمردوا في 1952 👺 فآلت للديون والإفلاس الآن !🥵",False,2022-08-27 17:01:48+00:00,🥵🤔 سلامه ياعم سلامه؟! رحت دفعت إشتراك الإنترزفت رجعت ياعيب شوم بحسره وندامه؟! وآدي عداد سرعه نص2/1 ميجابت والعقد معاه في شركته We وآ1 صحيح ميجا ؟؟ وي ي_وربنا يخلصلنا منه ومن كوووول شركاته في دنياه ويوم موقف عظيم أمام حكم عدل متعال !! وحسبنا الله ونعم الوكيل ولله الأمر !!🥵😱 https://t.co/bixHHxugeK,Twitter for Android
