user_name,user_location,text,likes,date
klbe1997, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-28
SaMar2555_, الوادي الجديد ,متعتك عندي بتحويل فودافون كاش سكس فون و كاميرا ب تحويل فودافون كاش .....,2,2022-08-28
dyna86889772, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-28
hcintma, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-28
alikreek564, الوادي الجديد ,شعري لونه orange وانتوا؟!,1,2022-08-28
SaMar2555_, الوادي الجديد ,متعتك عندي بتحويل فودافون كاش سكس فون و كاميرا ب تحويل فودافون كاش,6,2022-08-28
donia_elsheny, الوادي الجديد ,انا لما بحب حد بملا حياته منشنات و اتصالات و messages كتير قلق كدا قلق.,4,2022-08-28
mansor188885, الوادي الجديد ,شعري لونه orange وانتوا؟!,1,2022-08-28
daawq444, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-28
alikreek564, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-28
klbe1997, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-28
alabod857, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-28
sbaai200481, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-27
Nohaabdullah90, الوادي الجديد ,"اعلان اتصالات الجديد بتاع حلم
سم اوي اوي اوي 
ارفعوه من العرض بقي",0,2022-08-27
daawq444, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-27
AReegKamal4, الوادي الجديد ,اللي معاه شريحة فودافون مسجلة بــ اسمه يتصل علي 818 بيديلك 1500 جنيه من فودافون كاش بمناسبة دخول المدارس  جربوها أنا جربتها طلعت كدب,1,2022-08-27
mansor188885, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-27
shahsoohe, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-27
MohammedGero, الوادي الجديد ,إتصالات باعتين لي ٢٥ ميجا هدية 🙄 شكرا يا إتصالات إحنا مبنشحتش,1,2022-08-27
alabod857, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-27
SaMar2555_, الوادي الجديد ,متعتك عندي بتحويل فودافون كاش سكس فون و كاميرا ب تحويل فودافون كاش,3,2022-08-27
alikreek564, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-27
TarekMousaa, الوادي الجديد ,"أوسخ شركة (فودافون) بيشتركوا في أنظمة لوحدهم ولما تكلمهم يقولوا حضرتك اللي أشتركت.. ومتعرفش تاخد حق ولا باطل منهم. 
قررت أشتكيهم لجهاز حماية المستهلك وجهاز تنظيم الإتصالات",2,2022-08-27
AhlyKoraEG, الوادي الجديد ,"مصدر بالأهلي : 
 الأهلي تواصل مع إميان الفرنسي وقطر القطري للاستسفار عن المستحقات المتأخره لـاليو بادجي و بدر بانون التي تقدر بـ3 مليون و500 ألف دولار  

وهناك اتصالات مع النجم الساحلي للحصول على قيمة القسط الثاني في تسوية  الإيفواري سليماني كوليبالي وتقدر بـ 470 ألف دولار .",0,2022-08-26
OmniaEbrahiim, الوادي الجديد ,هاو تو بلوك مسجات وكولز اتصالات ال بيتصلوا ٧الصبح عشان يقولولك في ميتين زفت وحدات ربنا ينتقم منهم بحق جاه النبي زي ما بيقلقوا منامي,0,2022-08-26
alikreek564, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-26
a11said, الوادي الجديد ,"أنا بفكر ألغي وي وأحول لفودافون
حد عنده مشكلة مع الانترنت الأرضي في فودافون؟ وهل ترشحوه ولا لأ؟
 #امسك_حرامي_النت_في_مصر",17,2022-08-26
mostafaaswan88, الوادي الجديد ,"""صديقك الحقيقي لا تحتاج أن تجري معه إتصالات بأستمرار لكي تدوم صداقتكما فالرفاق المخلصون يظلون دائمًا مع بعضهم دون النظر إلى ظروف تواصلهم.""👌",1,2022-08-26
Abdelra48634356, الوادي الجديد ,"#امسك_حرامي_النت_في_مصر
شركات الانترنت في مصر لا تصلح للاستهلاك الادمي ، آخرهم مستخدمين بتوع 144p ، مفيش اي تطوير ، مفيش اي تحسين ، كله كذب ، كله احتكار وسبوبة
مفيش شركة واحدة هدفها خدمة العملاء ، مفيش شركة هدفها التحسين
@telecomegypt @VodafoneEgypt @Orange_Egypt @EtisalatEgypt",1,2022-08-26
3erzal, الوادي الجديد ,"صحيح انا نسيت اقولكو ان مستقبل الكليات الطبية ده ممسحش بيه رجلي، لو حد بيختار كليته الفترة دي أنصح بشدة ب:
-كمبيوتر ساينس
-هندسة اتصالات
-بيزنس",5,2022-08-26
SaMar2555_, الوادي الجديد ,"متعتك عندي بتحويل فودافون كاش سكس فون و كاميرا ب تحويل فودافون كاش
إللي جاهز بالتحويل فودافون كاش يجي خاص همتعك و اريحك و احلبك",6,2022-08-26
ahmateto665, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-26
shahsoohe, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-26
ArafatShymaa, الوادي الجديد ,"منجز إتصالات على ال laptop  بيسحب  Megas بشكل غريب مريب 
مجرد10دقايق تصفح  عادي ألاقي  200-300MB",0,2022-08-26
SaMar2555_, الوادي الجديد ,متعتك عندي بتحويل فودافون كاش سكس فون و كاميرا ب تحويل فودافون كاش .,4,2022-08-26
SaMar2555_, الوادي الجديد ,متعتك عندي بتحويل فودافون كاش سكس فون و كاميرا ب تحويل فودافون كاش,4,2022-08-26
mansor188885, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-26
klbe1997, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-25
hanyelmehy825, الوادي الجديد ,"كورس #وسائل_الاتصال_الذاتى بين الفرد ونفسه    . 🤗 اونلاين والدفع عن طريق تحويل فودافون كاش 
لا توجد حاليا اي جلسات في الأكاديمية 
للحجز و الاستعلام  تواصل تليجرام   @hanyelmehy825  او الرساله مع الشكر 🎩🧡",2,2022-08-25
manql78, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-25
shahsoohe, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-25
daawq444, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-25
shahsoohe, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-25
mkotb3262, الوادي الجديد ,هاي كورة- ذكرت تقارير فرنسية أن نادي يوفنتوس الإيطالي يأمل التعاقد مع النجم الأرجنتيني لياندرو باريديس، لاعب خط وسط نادي باري سان جيرمان الفرنسي، في أسرع وقت، حيث أنه سيتم إجراء اتصالات جديدة في الساعات القادمة لإتمام الصفقة، كما أن اللاعب يريد التوقيع مع السيدة العجوز,2,2022-08-25
SaMar2555_, الوادي الجديد ,متعتك عندي بتحويل فودافون كاش سكس فون و كاميرا ب تحويل فودافون كاش ..,3,2022-08-25
Z_a_kria21, الوادي الجديد ,حفظ الله أرض الزرقه، أحمد شحاته، هاني بركات، فودافون كاش، أرض محمد خيري والمكنه بتاعتهم وأخوه عبدالله 🫡🫡🫡🫡♥️,8,2022-08-24
alikreek564, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-24
alkaeed1122, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-24
nonem38, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-24
SaMar2555_, الوادي الجديد ,متعتك عندي بتحويل فودافون كاش سكس فون و كاميرا ب تحويل فودافون كاش,3,2022-08-24
ahmed__1__10, الوادي الجديد ,"""صديقك الحقيقي لا تحتاج أن تجري معه إتصالات بأستمرار لكي تدوم صداقتكما فالرفاق المخلصون يظلون دائمًا مع بعضهم دون النظر إلى ظروف تواصلهم.""",3,2022-08-24
