اباريس	ابريس
اباريق	ابريق
اباطيل	ابطوله
ابدان	بدن
ابرار	بر
ابراق	برق
ابرام	برم
ابرياء	بريء
ابصار	بصر
ابصال	بصل
ابطان	بطن
ابكار	بكر
ابنات	بنت
ابناك	بنك
ابواع	بوع
ابواغ	بوغ
ابواق	بوق
ابوال	بول
بوان	بون
ابيات	بيت
ابيار	بير
ابيان	بين
اثقاب	ثقب
اثقال	ثقل
اثلاث	ثلث
اثلام	ثلم
اثمار	ثمره
اثمان	ثمن
اثار	اثر
اجاويد	اجود
اجبال	جبل
اجداد	جد
اجذاع	جذع
اجذام	جذم
اجراف	جرف
اجلاب	جلب
اجلاس	جلس
اجلال	جل
اجمال	جمل
اجواد	جواد
اجواف	جوف
اجواق	جوق
اجياد	جواد 
احابيش	احبوش
احبار	حبر
احباس	حبس
احبال	حبل
احدات	حدت
احداق	حدقه
احراج	حرج
احرار	حر
احراز	حرز
احراف	حرف
احصان	حصن
احفاد	حفيد
احقاب	حقب
احقاف	حقف
احقاق	حق
احماض	حمض
احواز	حوز
احواش	حوش
احياز	حيز
احيان	حين
احکام	حکم
اخاديد	اخدود
اخبات	خبت
اخباز	خبز
اختان	ختن
خدم	خادم
اخدان	خدن
اخشاف	خشف
اخصام	خصم
اخطاب	خطب
اخلاق	خلق
اخلال	خل
اخماج	خمج
اخماس	خمس
اخوال	خال
اخوان	اخ
اخيار	خير
ادبار	دبر
ادخال	دخل
ادراع	درع
ادران	درن
ادعياء	دعي
ادغال	دغل
ادله	دليل
دلائل	دليل
ادهار	دهر
ادهان	دهن
اديار	دير
اذكار	ذكر
اذيال	ذيل
اراجيز	ارجوزه
ارباض	ربض
ارجال	رجل
ارداف	ردف
اردان	ردن
ارزان	رزن
ارساغ	رسغ
ارسان	رسن
ارضات	ارضه
ارطال	رطل
ارفاق	رفقه
ارماح	رمح
ارياح	ريح
ازارير	زر
ازرار 	زر
ازاميل	ازميل
ازاهير	زهره
ازجال	زجل
ازواد	زاد
ازوار	زير
اساتير	استار
اسانيد	اسناد
اسبات	سبت
اسباط	سبط
اسباع	سبع
اسبان	اسباني 
استار	ستر
اسداد	سد
اسداس	سدس
اسطال	سطل
اسقام	سقم
اسكان	سكن
اسناخ	سنخ
اسنان	سن
اسواط	سوط
اسوياء	سوي
اسياخ	سيخ
اسيار	سير
اسياف	سيف
اشبار	شبر
اشتات	شت
اشتال	شتله
اشراط	شرط
اشفار	شفر
اشفاق	شفق
اشقياء	شقي
اشمال	شمل
اشوار	شور
اشياخ	شيخ
اشياع	شيعه
اصانيف	اصنوف
اصحان	صحن
اصقاع	صقع
اصلاب	صلب
اصلاد	صلد
اصماغ	صمغ
اصواف	صوف
اصوام	صوم
اضهار	ضهر
اضياف	ضيف
اطاريح	اطروحه
اطلال	طلل
اطناب	طنب
اطهار	طاهر
اطواد	طود
اطواف	طوف
اطواق	طوق
اطياب	طيب
اطيان	طين
اعاجيب	اعجوبه
اعتاب	عتبه
اعراش	عرش
اعراض	عرض
اعشار	عشر
اعضاد	عضد
اعطاب	عطب
اعقاد	عقد
اعلال	عله
اعوام	عام
اعوان	عون
اعيان	عين
اغراب	غريب
اغراس	غرس
اغلاط	غلط
اغواط	غوط
اغوال	غول
اغيات	غيت
اغيار	غير
اغيان	غين
افاريز	افريز
افانين	افنين
افتار	فتر
افدان	فدن
افراز	فرز
افلاج	فلج
افلاق	فلق
افلاك	فلك
اقاصيص	اقصوصه
اقانيم	اقنوم
اقاويل	قول	
اقوال قول 
اقدار	قدر
اقذار	قذر
اقراب	قرب
اقصاد	قصد
اقماع	قمع
اقوات	قوت
اقيال	قيل
اقيان	قين
اكادير	اكدير
اكاسيد	اكسيد
اكباش	كبش
اكحال	كحل
اكداس	كدس
اكراد	كرد
اكران	كرن
اكواد	كود
اكوار	كور
اكواس	كوس
اكوان	كون
اكيال	كيل
التار	لتر
الجام	لجم
الطاف	لطف
الفاظ	لفظ
القاط	لقط
الماس	الماسه
امداح	مدح
امداد	مدد
امرار	مر
امساخ	مسخ
امشاج	مشج
امشاط	مشط
امصار	مصر
املاك	ملك
امواس	موس
اميال	ميل
امال	امل
انبار	نبر
انباط	نبط
انجاد	نجد
انجام	نجم
انداد	ند
انسام	نسيم
انصاف	نصف
انظار	نظر
انعام	نعم
انفار	نفر
انقاب	نقب
انقاض	نقض
انقال	نقل
انمار	نمر
انواط	نوط
انوال	نول
انياس	نيس
اهازيج	اهزوجه
اهداب	هدب
اهيان	هين
اوبار	وبر
اوثان	وثن
