,tweet,sentiment
0,هنأ دكتور حمد جمال دين قياد حزب مصر مناسب صدور لي رواية,positive
1,برادع يستقوي بامريكا مرهاخري و رسل عصام عرى ال واشنطن شاء مقرف,negative
2,الوالده لو اقولها خاطر حشيش ضحك بس من اقولها ملل الله كيل أعطى محاضر عن فسق فجور جنوب شيش لاه ذا يانبع حنان,neutral
3,انتخبوالعرص انتخبوالبرص مرسيرئيسي اينرئيسي,neutral
4,امير عيد هو لي علا يتقال على ستريكر صريح كاريوكي السكهشمال,positive
5,عود جماع إخوان إلي لحى السياسيه نفس وضع سابق مستحيل والطرمخه علي جرائم ماضي لن جعل تقدم شبر,negative
6,الصداقه زرع لحى زهار ميزياده,positive
7,إصرار علي الإستفتاء في ظل طن ممزق غلي شعب غياب أمن قضاء معطل واعلام محاصر هو انعدام إحساس بالمسؤوليه نحو مصر,negative
8,دضياء رشو أن دكتور عبد منعم أبو فتوح أكثر اعتدال سياسي دين كما أن اجتهد في مقاصد الشريعه,positive
9,دين شد تقديم كل صاحب رأي أو ناشط سياسة محاكم العسكريه علي مجلس عسكر التزام تعهد عدم إحاله مدن محاكم عسكر,negative
10,ماش هنسالك وانتا واقف جنب تطلب قصاص كلاب الداخليه ضرب رصاص جيكا,neutral
11,عنف مد ضد منشآت عام أو خاص ضد مجمع محاكم أو أقسام للشرطه أو مقر إعلام حزب إخوان أون لاين من الأجهزه الأمنيه أو من متظاهر,negative
12,إلي زملاء محام راغب في انضمام لمبادرهسامعين صوتكالتي هدف دمج متحد الاعاقه في مجتمع أسعد اشتراك,positive
13,إآبني مستقبل شرب حشيش عآإدي تصآإحب بنآإأإأت شغآل ضرب ابوك ومآالو بس تطلع زملكاوي هولع في أبو,neutral
14,هل هناك حضار دون جود المرأه جبى أن نثق في قدر المرأه هي دائم جزء من نجاح من غير المرأه لن تكون هناك,positive
15,من كتاب دع تعايش دكتور عمر خالد إذا كان لد دائرة فكر لدى دائرة فكر إذا ظلل علي بعد بقى,
16,مؤتمر مفكر في أبو ظبي عالم أعاش ثور علم والتكنولويا تواصل إنسان نحن أعاش حقب جهل كذب غياب قيم حزين على يا مصر,
17,انا لو نفس خط و ارتاب و صرف فلوس دنيا عش شوه الاخوان ماش حاعرف اخترع حد زي صفا حجاز,negative
18,تحالف بين أنصاربيتالمقدس و الحرسالثوري تنفيذ عملة إرهاب في مصر مصر إخوان المدالشيعي عملياتإرهابيه,
19,أسمفيلمبتحبه أسف علي إزعاج,positive
20,ماش عيب تكذب عمر ما عمل لا هعمل بل حد لا مدح نفس,negative
