,tweet,sentiment
0,هنأ دكتور أحمد جمال دين قيادي حزب مصر مناسب صدور أولى رواية,positive
1,برادعي استقوى امريكا مرهاخري و أرسل عصام عريان الي واشنطون شئ مقرف,negative
2,والد لو اقول خاطر حشيش ضحك بس من اقول ملل الله كيل أعطى محضر عن فسق فجور جنوب شيشان لي كذا يانبع حنان,neutral
3,انتخبوالعرص انتخبوالبرص مرسيرئيسي اينرئيسي,neutral
4,أمير عيد هو لي فعل يتقال على ستريكر صريح كاريوكي سكهشمال,positive
5,عود جماع أخ إلى حياه سياسيه نفس وضع سابق مستحيل طرمخه علي جريمة ماضي لن جعل تقدم شبر,negative
6,صداقه زرع حياه زهور ميزياده,positive
7,إصرار علي إستفتاء في ظل وطن ممزق غليان شعبي غياب أمني قضاء معطل علم محاصر هو انعدام إحساس مسؤول نحو مصر,negative
8,دضياء رشوان أن دكتور عبد منعم أبو فتح أكثر اعتدال سياسي دين كما أن اجتهد في مقصد شريعه,positive
9,أدان شد تقديم كل صاحب رأي أو ناشط سياسي محاكمة عسكريه علي مجلس عسكري التزام تعهد عدم إحال مدينة محاكمة عسكري,negative
10,مش هنسالك انت واقف جنب طلب قصاص كلب داخليه ضربو رصاص جيكا,neutral
11,عنف مدان ضد منشأة عام أو خاص ضد مجمع محكمة أو قسم شرط أو مقر إعلامي حزب أخ أون لاين من أجهزه أمنيه أو من متظاهر,negative
12,إلى زميل محامي راغب في انضمام لمبادرهسامعين صوتكالتي هدف دمج متحدي اعاقه في مجتمع أسعد اشتراك,positive
13,إآبني آلمستقبلي شرب حشيش عآإدي تصآإحب بنآإأإأت شغآل ضرب ابو مآالو بس طلع زملكاوي هولع في أب,neutral
14,هل هناك حضار دون وجود مرأه وجب أن وثق في قدرة مرأه هي دائم جزء من نجاح من غير مرأه لن كان هناك,positive
15,من كتاب ودع تعايش دكتور عمرو خالد إذا كان لدى دائرة فكري لدى دائرة فكر إذا ظلل علي بعد أبقى,
