,tweet,sentiment
0,اهنء دكتور احمد جمال دين قياد حزب مصر مناسب صدور اول رواي,positive
1,برادع استقو بامريك مرهاخر و يرسل عصام العر ال واشنط شء مقرف,negative
2,والده لو اقول خاطر حشيش تضح بس من اقول ملل الله كيل تعط محاضر عن فسق والفجور جنوب شيش ليه كذا يانبع الحن,neutral
3,انتخبوالعرص انتخبوالبرص مرسيرييس اينرييس,neutral
4,امير عيد هو الل فعل يتقال علي تريكر صريح كاريوك سكهشمال,positive
5,عود جماع اخو ال حياه سياسيه نفس وضع سابق مستحيل والطرمخ عل جرايم ماض لن تجعل نتقدم شبر,negative
6,صداقه تزرع حياه ازهار ميزياد,positive
7,اصرار عل استفتاء في ظل وطن ممزق غلي شعب غياب امن قضاء معطل واعلام محاصر هو انعدام احساس مسووليه نحو مصر,negative
8,دضياء رشوان ان دكتور عبد منعم ابو فتوح اكثر اعتدال ياسي دين كما انه اجتهد في مقاصد شريعه,positive
9,ادين بشد تقديم كل صاحب رء او ناشط سياس محاكم عسكريه عل مجلس عسكر التزام تعهد عدم احال مدن لمحاكما عسكر,negative
10,مش هنسال وان واقف جنب تطلب قصاص كلاب داخليه ضرب رصاص جيك,neutral
11,عنف مدان ضد منشء عام او خاص ضد مجمع محا او اقسام شرطه او مقر اعلام حزب كاخو اون لاين من اجهزه امنيه او من متظاهر,negative
12,ال زملاء محام راغب في انضمام لمبادرهسامع صوتكالت تهدف لدمج متحد اعاقه في مجتمع يسعد اشتر,positive
13,ااب المستقبل تشرب حشيش عااد تصااحب نااااء شغال تضرب ابو ماال بس تطلع زملكاو هولع في ابو,neutral
14,هل هنا حضار دون جود مراه يجب ان نثق في قدرا مراه فه دايم جزء من نجاح من غير مراه لن تكون هنا,positive
15,من كتاب دعو تعايش دكتور عمرو خالد اذا كان لد دايرت فكر ولد داير فكر واذ ظلل عل بعد ستبق,
16,موتمر مفكر في ابو ظب عالم يعيش ثور علم والتكنولوي والتواصل انسان ونح نعيش حقب جهل والكذب غياب قيم حزين علي يا مصر,
17,انا لو نفس اخطط و ارتب و اصرف لوس دنيا عشان اشو اخو مش حاعرف اخترع حد زي صفو حجاز,negative
18,تحالف بين انصاربيتالمقدس و حرسالثور لتنفيذ عمليا ارهاب في مصر مصر اخو مدالشيع عملياتارهاب,
19,اسمفيلمبتحب اسف عل ازعاج,positive
20,مش عيب تكذب عمر ما عمل ولا هعمل بلو لحد لا تمدح نفس,negative
21,ضعف انتخاب والجماهير لا يقتصر عل احزاب جديده يطال بكل تاكيد قو راسخ في مشهد سياس الا ان عقود سلطو مبار طويله انهك,negative
22,مصرالقو حذر من خطر تحول سلطا دوله لمجرد سند لسلط عسكر لا تفهم سياس ولا تع معن دوله مهام حدود خارج فكر حمل سلاح,negative
23,منذ عامين وحت الان كل ما قدم انصار تيارا شعار اسلاميه لمصر مجرد مشاريع خناقا مع عالم والك ابناء وطن,negative
24,باسمطلعحرام يا حرام,negative
25,دعمر حمزاو رنامج اخر كلام ابريل,
26,سلف سعيد عبد عظيم قال ان مرس ايه من ايا الله ونس ان الله تعال ارسل ال مصر ايام سيد موس ايا منه جراد والقمل والضفادع والدم,negative
27,لسان عرب بين السنه كزم ربيع بين ازمنه يومالعالميللغهالعربيه,positive
28,بور لك في مولود ادعو الله ان يجمع شمل اسره في بيت طيب و يجعل من خالد نعم ابن لنعم ابو,positive
29,اكتبعبارهعليبابقلب راق وجه ضيق مواج عيد والوق قاس والتقاليد قشر,
30,اكثر شعور يوجع لما تجوع في بيت مو بيت ايموشنموجب,negative
31,هاتل اخوان اي حاج مش تنوين ومش ضمير اخوان بعد كلم مش هتلاق غير لوط شياط,negative
32,عايز تكون عضو في حمل مشير سيس سهل جدا ساعد اننا نعمل مليون شير انتخبالسيس,positive
33,ماظهلابد من معاير عداد توحيد تعريفه لكل قاطنينالتقدير جزافيه ظلم لابد ان تتوقف,negative
34,من سنن الت تفعل في وضع تشهد وضع اليد عل فخذ يمن عل يمن واليسر عل يسر مبسوطت اصابع مضمومت نشرسير,
35,جمهور مصر طبيعيه جمهور ديمقراط حقيق جمهور مدن تحم حقوق مواطنه و مساواه و عدل,positive
36,كنت اكر قراءه و حول ال مهوس بها حول بيت ال معرضالكتاب ممتن لك جدا استاذ,positive
37,ثورهالعراقيه هروب ضابط استخبارا فوج خامس في جهاز مكافح ارهاب مقدم حسين محجوب عبد امير,
38,اسوانيماذا فعل اخو رداعل سحل فتا تعري قتل عشر من قبل عسكر ذين كان متحالف معهم انذ,negative
39,حري تعبير لا تتضم تحريض عل عنف و فتنه طايفيه بل هو خطاب كراه,negative
40,قصد كان موج لكذب ان ما كنتش هنا,negative
41,محبين برنامج يزيد,positive
42,مرس فتح عل نفس توح ضنك بذا رياسيه دي ده فيه ناس هيبق كيف شتيمه بعد كده,negative
43,لا ابد انا مسرور من كلام,positive
44,عاجل تاجيل محاكمهمرس و اخرين في قضي احداث اتحاديه ال جلس مايو مقبل سو,
45,قاهره حمل امن استهدف بور اجراميه دواير اقسام شرط مصرالقديم معاد دارالسلام كمي من,
46,حازمعبدالعظيم وهو يرد علي عل تويتر ايام حكم مرس يقول جيش يدخل ليحل ليس ليح حازم دلوقت في,
