,tweet,sentiment
0,اهنئ دكتور احمد جمال دين قيادي بحزب ص بمناسب صدر اولي روايت,positive
1,برادعي يستقو بامريكا مرهاخر و يرسل عصام عريان الي اشنطن شئ مقرف,negative
2,والده لو اقول بخاطر حشيش تضحك بس من اقول ل له كيلك تعطين محضر عن فسق فجور جنوب شيشان ي كذا يانبع حنان,neutral
3,انتخبوالعرص انتخبوالبرص مرسيرئيس اينرئيس,neutral
4,امير ي هو اللي عل يتقال علي ستريكر صريح كاريوك سكهشمال,positive
5,عود جماع اخوان الي حي سياسيه بنفس وضع سابق مستحيل طرمخه علي جريمه ماضي لن تجعل نتقدم شبرا,negative
6,صداقه تزرع حي ازهارا ميزياد,positive
7,اصرار علي استفتاء في ظل ط ممزق وغل شعب غياب امن قضاء معطل اعلام محاصر هو انعدام احساس مسؤوليه نحو ص,negative
8,دضياء رشو أن دكتور ب منعم ب فتوح اكثر اعتدالا سياسيا ود كما ن اجتهد في مقصد شريعه,positive
9,اد بشد تقديم كل صاحب ا أو ناشط سياس محاكمات عسكريه علي مجلس عسكري التزام بتعهد عدم احال مدينه لمحاكم عسكر,negative
10,مش هنسالك انت اقف جنب بتطلب قصاص كلاب داخليه ضربوك رصاص جيكا,neutral
11,عنف مد ضد منش عام أو خاص ضد مجمع محا أو قسم شرطه أو ق علم حزب كاخو و لا من جهاز امنيه أو من متظاهرين,negative
12,الي زملائ محامين راغبين في انضمام لمبادرهسامع صوتكالت تهدف لدمج متحد اعاقه في مجتمع يسعد اشتراك,positive
13,اابن مستقبلي تشرب حشيش عااد تصااحب بناااا شغال تضرب ابوكـ ماالو بس تطلع زملكاو هولع في ابوكــــــــــ,neutral
14,هل هناك حضار دون جود مراه ج أن ث في قدر مراه ه دائما ز من نجاح من غير مراه لن تك هناك,positive
15,من كتاب دعو تعايش دكتور عمرو خالد اذا كان لدي دائرت فكر لدي دائرتك فكرك اذ ظلل علي بعد ستبق,
16,مؤتمر مفكرين في ب ب عالم يعيش ثور علم تكنولويا تواصل انساني نحن نعيش حقب جهل كذب غياب قيمه حز علي يا ص,
17,انا لو نفس اخطط و ارتب و اصرف فلوس دنيا عش اشو اخوان مش حاعرف اخترع حد زي صفوت حجاز,negative
18,تحالف بين انصاربيتالمقدس و حرسالثوري لتنفيذ عمل ارهاب في ص ص اخوان مدالشيعي عملياتارهاب,
19,اسمفيلمبتحب س علي ازعاج,positive
20,مش ي تكذب عمر ما عملت ل هعمل بلوك ح لا تمدح نفسك,negative
21,ضعف انتخابي جمهور لا يقتصر علي حزب جديده يطال ك تاكيد و راسخ في مشهد سياسي ل أن عقد سلطو مبارك طويله انهكت,negative
22,مصرالقو حذر من ط تحول سلط دوله لمجرد ن لسلط عسكر لا تف سياس ل ع معن دوله مهام حدود خارج فكر م سلاح,negative
23,منذ عام حتي الان كل ما قدم نصر تيار شعارات اسلاميه لمصر مجرد مشروع خناق مع عالم كون ابناء وطن,negative
24,باسمطلعحرام يا حرام,negative
25,دعمرو حمزاو برنامج خ كلام ابريل,
26,سلفي سعيد ب عظيم قال أن مرس ي من اي له ونس أن له تعال ارسل الي ص يوم سيد موس اي من جراد قمل ضفدع دم,negative
27,لس عرب بين السنه كزمن ربيع بين ازمنه يومالعالميللغهالعربيه,positive
28,بورك لك في مولود ادعو له ان يجمع م اسره في بيت طيب و يجعل من خالد ع ابن لنعم ابوين,positive
29,اكتبعبارهعليبابقلبك فراق جهك ي مواجهك ي وقت قاس تقليد قـــشرا,
