,tweet,sentiment
0,هنأ دكتور حمد جمال دين قياد حزب مصر مناسب صدور أولى رواية,positive
1,برادع يستقوى بامريكا مرةاخرى و رسل عصام عرى ال واشنطن شاء مقرف,negative
2,والد لو اقولها خاطر حشيش ضحك بس من اقولها ملل الله كيل أعطى محاضر عن فسق فجور جنوب شيش لاه ذا يانبع حنان,neutral
3,انتخبوالعرص انتخبوالبرص مرسىرئيسى اينرئيسى,neutral
4,امير عيد هو لي علا يتقال على ستريكر صريح كاريوكي السكةشمال,positive
5,عود جماع إخوان إلى حياة سياسة نفس وضع سابق مستحيل والطرمخة على جرائم ماضي لن جعل تقدم شبر,negative
6,صداق زرع حياة زهار ميزيادة,positive
7,إصرار علي الإستفتاء في ظل طن ممزق غلي شعب غياب أمن قضاء معطل واعلام محاصر هو انعدام إحساس مسؤول نحو مصر,negative
8,دضياء رشو أن دكتور عبد منعم أبو فتوح أكثر اعتدال سياسي دين كما أن اجتهد فى مقاصد شريعة,positive
9,دين شدة تقديم كل صاحب رأي أو ناشط سياسة محاكم عسكر علي مجلس عسكر التزام تعهد عدم إحالة مدن محاكم عسكر,negative
10,ماش هنسالك وانتا واقف جنبى تطلب قصاص كلاب داخلي ضرب رصاص جيكا,neutral
11,عنف مد ضد منشآت عامة أو خاصة ضد مجمع محاكم أو أقسام شرطة أو مقر إعلام حزب إخوان أون لاين من أجهزة أمن أو من متظاهر,negative
12,إلى زملاء محام راغب في انضمام لمبادرةسامعين صوتكالتى هدف دمج متحد الاعاقه في مجتمع أسعد اشتراك,positive
13,إآبني مستقبل شرب حشيش عآإدي تصآإحب بنآإأإأت شغآل ضرب ابوك ومآالو بس تطلع زملكاوى هولع في أبو,neutral
14,هل هناك حضار دون جود المرأة جبى أن نثق في قدر المرأة هي دائم جزء من نجاح من غير المرأة لن تكون هناك,positive
15,من كتاب دعوة تعايش دكتور عمر خالد إذا كان لد دائرة فكر لدى دائرة فكر إذا ظلل على بعد بقى,
16,مؤتمر مفكر في أبو ظبي عالم أعاش ثورة علم والتكنولويا تواصل إنسان نحن أعاش حقب جهل كذب غياب قيم حزين على يا مصر,
17,انا لو نفس خط و ارتاب و صرف فلوس دنيا عش شوه الاخوان ماش حاعرف اخترع حد زي صفا حجاز,negative
18,تحالف بين أنصاربيتالمقدس و الحرسالثوري تنفيذ عملة إرهاب في مصر مصر إخوان المدالشيعي عملياتإرهابية,
19,أسمفيلمبتحبه أسف على إزعاج,positive
20,ماش عيب تكذب عمر ما عمل لا هعمل بل حد لا مدح نفس,negative
21,ضعف انتخاب جماهير لا اقتصر على أحزاب جديد أطال كل تأكيد قوى راسخ في مشهد سياسة إلا أن عقود سلطوي مبار طويل نهكة,negative
22,مصرالقوية حذر من خطر تحول سلط دول مجرد سند سلط عسكر لا تف سياسة لا أعيا معنى دول ومهامها حدود خارج فكر حمل سلاح,negative
23,منذ عام حتى الآن كل ما قدم أنصار تيار شعار إسلام مصر مجرد مشاريع خناق مع عالم كون أبناء وطن,negative
24,باسمطلعحرامى يا حرام,negative
25,دعمرو حمزاوي برنامج أخر كلام إبريل,
26,سلف سعيد عبد عظيم قال أن مرس آي من آية الله نسي أن الله تعالى رسل إلى مصر أيام سيد موسى آية من جراد قمل ضفادع دم,negative
27,لسان عرب بين ألسن زمن ربيع بين أزمن اليومالعالميللغةالعربية,positive
28,ورك لك في مولود دعا الله ان جمع شمل أسرة في بيت طيب و جعل من خالد نعم الإبن نعم أبوي,positive
29,اكتبعبارةعلىبابقلبك فراق وجه ضيق مواجه عيد وقت قاسى تقاليد قشر,
30,كثر شعور وجع لما تجوع في بيت مو بيت ايموشنموجب,negative
31,هاتلي اخوان أي حاج ماش تنوين ماش ضمير اخوان بعد كلم ماش هتلاقي غير لوط شياط,negative
32,عايز تكون عضو في حمل مشير السيسي سهل جدا ساعد اننا عمل مليون شار سأنتخبالسيسي,positive
33,الماظةلابد من معاير عداد توحيد تعريف كل القاطنينالتقديرات جزاف ظلم لابد أن توقف,negative
34,من سنن التي فعل في وضع تشهد وضع يد على فخذ يمنى على يمنى يسرى على يسرى مبسوط أصابع مضموم نشرسيرته,
35,جمهور مصر طبيعة جمهور ديمقراطي حقيق جمهور مدن أحمى حقوق مواطن و مساواة و عدل,positive
