,tweet,sentiment
0,أهنئ الدكتور أحمد جمال الدين القيادي بحزب مصر بمناسبة صدور أولى روايته,positive
1,البرادعي يستقوى بامريكا مرةاخرى و يرسل عصام العريان الي واشنطن شئ مقرف,negative
2,الوالدة لو اقولها بخاطري حشيشة تضحك بس من اقولها ملل الله وكيلك تعطيني محاضرة عن الفسق والفجور بجنوب الشيشان ليه كذا يانبع الحنان,neutral
3,انتخبوالعرص انتخبوالبرص مرسىرئيسى اينرئيسى,neutral
4,امير عيد هو اللي فعلا يتقال عليه ستريكر صريح كاريوكي السكةشمال,positive
5,عودة جماعة الإخوان إلى الحياة السياسية بنفس وضعها السابق مستحيلة والطرمخة على جرائم الماضي لن تجعلنا نتقدم شبرا,negative
6,الصداقة تزرع الحياة أزهارا ميزيادة,positive
7,الإصرار علي الإستفتاء في ظل وطن ممزق وغليان شعبي وغياب أمني وقضاء معطل واعلام محاصر هو انعدام للإحساس بالمسؤولية نحو مصر,negative
8,دضياء رشوان أن الدكتور عبد المنعم أبو الفتوح الأكثر اعتدالا سياسيا وديننا كما أنه اجتهد فى مقاصد الشريعة,positive
9,أدين بشدة تقديم كل صاحب رأي أو ناشط سياسي للمحاكمات العسكرية علي المجلس العسكري الالتزام بتعهده بعدم إحالة المدنين لمحاكمات عسكرية,negative
10,مش هنسالك وانتا واقف جنبى بتطلب القصاص وكلاب الداخلية ضربوك بالرصاص جيكا,neutral
11,العنف مدان ضد منشآت عامة أو خاصة ضد مجمع محاكم أو أقسام للشرطة أو مقر إعلامي حزبي كإخوان أون لاين من الأجهزة الأمنية أو من المتظاهرين,negative
12,إلى زملائي المحامين الراغبين في الانضمام لمبادرةسامعين صوتكالتى تهدف لدمج متحدي الاعاقه في المجتمع يسعدنا اشتراككم,positive
13,إآبني آلمستقبلي  تشرب حشيش عآإدي  تصآإحب بنآإأإأت شغآل   تضرب ابوكـ ومآالو    بس تطلع زملكاوى هولع في أبوكــــــــــ,neutral
14,هل هناك حضارة دون وجود المرأة يجب أن نثق في قدرات المرأة فهي دائما جزء من النجاح من غير المرأة لن تكون هناك,positive
15,من كتاب دعوة للتعايش للدكتور عمرو خالد إذا كان لدي دائرتي وفكري ولديك دائرتك وفكرك  وإذا ظللنا على بعد ستبقى,
16,مؤتمر المفكرين في أبو ظبي العالم يعيش ثورة العلم والتكنولويا والتواصل الإنساني ونحن نعيش حقبة الجهل والكذب وغياب القيم حزين عليك يا مصر,
17,انا لو نفسي اخطط و ارتب و اصرف فلوس الدنيا عشان اشوه الاخوان مش حاعرف اخترع حد زي صفوت حجازي,negative
18,تحالف بين أنصاربيتالمقدس و الحرسالثوري لتنفيذ عمليات إرهابية في مصر مصر الإخوان المدالشيعي عملياتإرهابية,
19,أسمفيلمبتحبه أسف على الإزعاج,positive
20,مش عيب تكذب عمري ما عملت ولا هعمل بلوك لحد لا تمدح نفسك,negative
